week,mean_pct_change,mean_detect,n_sites
2020-07-12,3146.8225806451615,98.38709677419355,186
2020-07-19,1637.962441314554,97.96713615023474,213
2020-07-26,2372.968325791855,96.15837104072398,221
2020-08-02,3168.15,98.48636363636363,220
2020-08-09,1679.7971014492753,98.8743961352657,207
2020-08-16,4942.29797979798,99.24242424242425,198
2020-08-23,1952.8952879581152,100,191
2020-08-30,56770.433155080216,98.48663101604278,187
2020-09-06,49670.45161290323,96.33179723502305,217
2020-09-13,502.26637554585153,95.77729257641921,229
2020-09-20,4351.904411764706,96.76102941176471,272
2020-09-27,6122.633228840125,97.78683385579937,319
2020-10-04,26441.17094017094,95.99430199430199,351
2020-10-11,15240.316753926701,94.80890052356021,382
2020-10-18,680.5662337662337,94.74545454545455,385
2020-10-25,823.4718498659518,96.44504021447722,373
2020-11-01,1668.7206982543642,96.46384039900249,401
2020-11-08,1271.255,96.85,400
2020-11-15,4580.040609137056,96.36040609137056,394
2020-11-22,3241.972431077694,96.40852130325814,399
2020-11-29,214.9748743718593,96.94221105527639,398
2020-12-06,1802.5688775510205,97.06632653061224,392
2020-12-13,834.6148325358852,97.92822966507177,418
2020-12-20,560.4646464646464,97.31060606060606,396
2020-12-27,532.3939393939394,96.50757575757575,396
2021-01-03,529.950495049505,96.9480198019802,404
2021-01-10,338.52357320099253,96.98263027295286,403
2021-01-17,163.2550505050505,96.46464646464646,396
2021-01-24,12205.654255319148,96.27659574468085,376
2021-01-31,16757.640419947507,96.22047244094489,381
2021-02-07,74984.06279069767,90.66279069767442,430
2021-02-14,3002.8337662337663,87.75584415584416,385
2021-02-21,1448.9660056657224,84.75637393767705,353
2021-02-28,230.80661577608143,85.08651399491094,393
2021-03-07,18183.44212962963,84.24074074074075,432
2021-03-14,4574.347368421053,83.01315789473684,380
2021-03-21,70110.65835411471,85.16209476309227,401
2021-03-28,61493.11547344111,89.90069284064666,433
2021-04-04,2484.825059101655,91.80378250591016,423
2021-04-11,179436.59322033898,94.60381355932203,472
2021-04-18,68961.22764227643,92.71747967479675,492
2021-04-25,1148.5587628865978,94.47216494845361,485
2021-05-02,5292.566336633663,92.85940594059406,505
2021-05-09,2549.762088974855,91.4816247582205,517
2021-05-16,3055.2830188679245,90.99371069182389,477
2021-05-23,5493.473469387755,87.58571428571429,490
2021-05-30,2599.375782881002,88.71816283924844,479
2021-06-06,3208806.681069959,89.5679012345679,486
2021-06-13,3054829.94891945,89.04125736738703,509
2021-06-20,1654.942115768463,90.35129740518963,501
2021-06-27,131746.84674329503,90.47509578544062,522
2021-07-04,24850.898916967508,91.48014440433214,554
2021-07-11,7628761.003546099,94.72695035460993,564
2021-07-18,19043967.63829787,96.41312056737588,564
2021-07-25,27409451.63752277,97.02003642987249,549
2021-08-01,16298416.844696969,98.26136363636364,528
2021-08-08,8676.650557620818,99.5539033457249,538
2021-08-15,1763.693308550186,99.93866171003718,538
2021-08-22,4338.570642201835,99.42018348623853,545
2021-08-29,7711.600682593857,99.54607508532423,586
2021-09-05,4620.745362563238,99.69139966273187,593
2021-09-12,466.2044673539519,99.94329896907216,582
2021-09-19,4999.592400690846,99.14853195164076,579
2021-09-26,10001.338596491229,98.78421052631579,570
2021-10-03,8106.701208981001,98.58894645941278,579
2021-10-10,520.2632478632479,98.82051282051282,585
2021-10-17,499.05699481865287,98.95509499136442,579
2021-10-24,143.0599647266314,97.84126984126983,567
2021-10-31,1028.8162162162162,96.63063063063063,555
2021-11-07,2848.3152173913045,97.78623188405797,552
2021-11-14,2346.1332179930796,99.30968858131487,578
2021-11-21,1676.7352445193928,98.42158516020235,593
2021-11-28,5347769.152899824,98.96309314586995,569
2021-12-05,13993682.912126537,99.73989455184534,569
2021-12-12,10792434.542713568,99.71021775544389,597
2021-12-19,7497044.329842932,98.48342059336824,573
2021-12-26,12478895.023210831,98.24951644100581,517
2022-01-02,23597.197154471545,98.10975609756098,492
2022-01-09,8214241.992366413,99.37977099236642,524
2022-01-16,7487590.20797227,99.50259965337955,577
2022-01-23,20537.30066445183,99.77906976744185,602
2022-01-30,9360190.96103896,99.42135642135642,693
2022-02-06,8169809.17721519,98.85822784810127,790
2022-02-13,61911022.57877813,97.11897106109325,933
2022-02-20,26447874.063773252,91.88396811337466,1129
2022-02-27,1789263.6655574043,86.39517470881863,1202
2022-03-06,268.03241895261846,82.7190357439734,1203
2022-03-13,198.20338983050848,78.09322033898304,1180
2022-03-20,302.3965517241379,73.00246305418719,1218
2022-03-27,592.3559042113956,67.19983484723369,1211
2022-04-03,2270907.993558776,63.61594202898551,1242
2022-04-10,9347062.555886736,69.45156482861401,1342
2022-04-17,9029338.744666666,77.432,1500
2022-04-24,4416948.054196959,82.93126239259749,1513
2022-05-01,962728.3698088332,86.57481872116018,1517
2022-05-08,811699.8146692861,90.62278978388998,1527
2022-05-15,813343.2865612648,93.54611330698287,1518
2022-05-22,2771620.2741935486,95.24193548387096,1550
2022-05-29,1476616.417205692,95.73479948253558,1546
2022-06-05,7102602.516949153,95.47262059973924,1534
2022-06-12,9931005.007265521,95.93659180977544,1514
2022-06-19,8180.562256809339,96.32166018158236,1542
2022-06-26,4834.027915632754,96.45719602977667,1612
2022-07-03,1815.728287841191,97.4075682382134,1612
2022-07-10,5420641.049779458,98.07498424700694,1587
2022-07-17,2680606.521495327,98.23052959501558,1605
2022-07-24,3015339.461204221,98.47610180012414,1611
2022-07-31,4590608.621621622,98.40414833438089,1591
2022-08-07,6983.1154791154795,98.1504914004914,1628
2022-08-14,3826236.1332149203,97.84310242747188,1689
2022-08-21,1236067.1998854524,97.49942726231386,1746
2022-08-28,303.8983739837398,96.77003484320558,1722
2022-09-04,9474.796189376444,96.60969976905312,1732
2022-09-11,3255.291168091168,95.93903133903135,1755
2022-09-18,2524323.9469783353,95.41847206385405,1754
2022-09-25,7292263.5981890205,95.38992642897567,1767
2022-10-02,3640.877505567929,96.16926503340757,1796
2022-10-09,2739.365976496922,97.00727476217124,1787
2022-10-16,3618854.771158129,96.99777282850779,1796
2022-10-23,1207659.5128205128,97.13147845062738,1833
2022-10-30,3357.4087982832616,97.61480686695279,1864
2022-11-06,44979.54608050847,97.61546610169492,1888
2022-11-13,502.6724960254372,97.3667196608373,1887
2022-11-20,48540.02587601078,97.23126684636118,1855
2022-11-27,9199487.278074866,98.31069518716578,1870
2022-12-04,2276987.913547707,99.34001054296257,1897
2022-12-11,389.08835546475996,99.33707865168539,1958
2022-12-18,191207.79496221663,99.15919395465995,1985
2022-12-25,2397987.9099944783,98.56819436775262,1811
2023-01-01,3661229.5973949083,97.81113084665482,1689
2023-01-08,4718307.953343702,96.65266977708657,1929
2023-01-15,2197597.741234568,96.89777777777778,2025
2023-01-22,3788254.105493437,97.24404472532815,2057
2023-01-29,1166301.0387221684,96.87366892545982,2066
2023-02-05,1692.7430221366699,97.49278152069297,2078
2023-02-12,18711.25302889096,97.68825722273998,2146
2023-02-19,3978669.7048498844,97.95519630484988,2165
2023-02-26,1953577.2936112368,97.16674218396012,2207
2023-03-05,3131958.9769299026,95.9773735581189,2254
2023-03-12,837073.1614743308,94.72444054409829,2279
2023-03-19,963351.9839688041,94.83102253032929,2308
2023-03-26,4632906.028472821,94.90120793787749,2318
2023-04-02,1165.6317567567567,93.01224662162163,2368
2023-04-09,1694.5673076923076,91.39046822742475,2392
2023-04-16,2361.690841276419,89.74886033982594,2413
2023-04-23,5475319.321746503,88.22763883001272,2359
2023-04-30,2753715.968856655,87.24018771331058,2344
2023-05-07,14835.596761133604,86.84210526315789,2470
2023-05-14,3292971.239789729,86.34573392640517,2473
2023-05-21,864964.3681252509,85.86391007627459,2491
2023-05-28,7156224.665728077,84.98913917940466,2486
2023-06-04,11565732.149397591,83.0995983935743,2490
2023-06-11,8444835.474076983,81.71877454831107,2546
2023-06-18,5058294.260785076,80.64321803342402,2573
2023-06-25,1185.1626757886736,80.60965412390726,2631
2023-07-02,7340952.330296127,81.19969627942294,2634
2023-07-09,10750035.105576208,83.28215613382899,2690
2023-07-16,5183398.140925267,85.255871886121,2810
2023-07-23,1721249.250978996,87.30331078675685,2809
2023-07-30,5243492.8138373755,89.07524964336662,2804
2023-08-06,4179245.02733564,90.7114186851211,2890
